Orijinal,Stem (Gövde),Lemma (Kök)
yargı,yargı,yargı
organlarını,organlarını,organ
",",",",","
idare,idar,idare
makamlarını,makamlarını,makam
diğer,diğer,diğer
kuruluş,kuruluş,kuruluş
kişileri,kişileri,kişi
bağlayan,bağlayan,bağlamak
temel,temel,temel
hukuk,hukuk,hukuk
kurallarıdır,kurallarıdır,kural
.,.,.
Kanunlar,kanunlar,Kanun
Anayasaya,anayasaya,anayasa
aykırı,aykırı,aykırı
olamaz,olamaz,olamaz
.,.,.
İKİNCİ,i̇ki̇nci̇,i̇ki̇nci̇
KISIM,kisim,kisim
Temel,temel,temel
Haklar,haklar,Hak
Ödevler,ödevler,ödevlemek
BİRİNCİ,bi̇ri̇nci̇,bi̇ri̇nci̇
BÖLÜM,bölüm,bölüm
Genel,genel,genelmek
Hükümler,hükümler,hüküm
I.,i.,i
Temel,temel,temel
hak,hak,Hak
hürriyetlerin,hürriyetlerin,hürriyet
niteliği,niteliği,nitelik
MADDE,madd,madde
12-,12-,12-
Herkes,herk,herkes
",",",",","
kişiliğine,kişiliğin,kişi
bağlı,bağlı,bağ
",",",",","
dokunulmaz,dokunulmaz,dokumak
",",",",","
devredilmez,devredilmez,devretmek
",",",",","
vazgeçilmez,vazgeçilmez,vazgeçmek
temel,temel,temel
hak,hak,Hak
hürriyetlere,hürriyetler,hürriyet
sahiptir,sahiptir,sahip
.,.,.
Temel,temel,temel
hak,hak,Hak
hürriyetler,hürriyetl,hürriyet
",",",",","
kişinin,kişinin,kişi
topluma,topluma,top
",",",",","
ailesine,ailesin,aile
diğer,diğer,diğer
kişilere,kişiler,kişi
karşı,karşı,karşı
ödev,ödev,ödev
sorumluluklarını,sorumluluklarını,sorum
ihtiva,ihtiva,ihtiva
eder,eder,eder
.,.,.
II,ii,ii
:,:,:
Temel,temel,temel
hak,hak,Hak
hürriyetlerin,hürriyetlerin,hürriyet
sınırlanması,sınırlanması,sınır
MADDE,madd,madde
13-,13-,13-
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/2,3/10/2001-4709/2,3/10/2001-4709/2
md,md,Md
.,.,.
),),)
Temel,temel,temel
hak,hak,Hak
hürriyetler,hürriyetl,hürriyet
",",",",","
özlerine,özlerin,öz
dokunulmaksızın,dokunulmaksızın,dokunulmaksızın
yalnızca,yalnızca,yalnız
Anayasanın,anayasanın,anayasa
ilgili,ilgili,ilgi
maddelerinde,maddelerind,madde
belirtilen,belirtilen,belirti
sebeplere,sebepler,sebep
bağlı,bağlı,bağ
olarak,olarak,olarak
ancak,ancak,ancak
kanunla,kanunla,Kanun
sınırlanabilir,sınırlanabilir,sınır
.,.,.
sınırlamalar,sınırlamalar,sınırlamak
",",",",","
Anayasanın,anayasanın,anayasa
sözüne,sözüne,söz
ruhuna,ruhuna,ruh
",",",",","
demokratik,demokratik,demokratik
toplum,toplum,top
düzeninin,düzeninin,düzmek
lâik,lâik,Laik
Cumhuriyetin,cumhuriyetin,cumhuriyet
gereklerine,gereklerin,gerek
ölçülülük,ölçülülük,ölçü
ilkesine,ilkesin,İlke
aykırı,aykırı,aykırı
olamaz,olamaz,olamaz
.,.,.
III,iii,iii
.,.,.
Temel,temel,temel
hak,hak,Hak
hürriyetlerin,hürriyetlerin,hürriyet
kötüye,kötüye,kötü
kullanılamaması,kullanılamaması,kul
MADDE,madd,madde
14-,14-,14-
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/3,3/10/2001-4709/3,3/10/2001-4709/3
md,md,Md
.,.,.
),),)
Anayasada,anayasada,anayasa
yer,yer,yermek
alan,alan,ala
hak,hak,Hak
hürriyetlerden,hürriyetlerden,hürriyet
hiçbiri,hiçbiri,hiçbiri
",",",",","
Devletin,devletin,devlet
ülkesi,ülkesi,Ülke
milletiyle,milletiyl,millet
bölünmez,bölünmez,bölmek
bütünlüğünü,bütünlüğünü,bütün
bozmayı,bozmayı,bozmak
insan,insan,İnsa
haklarına,haklarına,Hak
dayanan,dayanan,dayanmak
demokratik,demokratik,demokratik
