Orijinal,Stem (Gövde),Lemma (Kök)
hükümleri,hükümleri,hüküm
vakıflarla,vakıflarla,vâkıf
ilgili,ilgili,ilgi
olarak,olarak,olarak
uygulanır,uygulanır,uygulamak
.,.,.
B.,b.,B
Toplantı,toplantı,toplantı
gösteri,gösteri,gösteri
yürüyüşü,yürüyüşü,yürümek
düzenleme,düzenlem,düzenlemek
hakkı,hakkı,Hak
MADDE,madd,madde
34-,34-,34-
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/13,3/10/2001-4709/13,3/10/2001-4709/13
md,md,Md
.,.,.
),),)
Herkes,herk,herkes
",",",",","
önceden,önceden,önce
izin,izin,izin
almadan,almadan,almak
",",",",","
silahsız,silahsız,silâh
saldırısız,saldırısız,saldırı
toplantı,toplantı,toplantı
gösteri,gösteri,gösteri
yürüyüşü,yürüyüşü,yürümek
düzenleme,düzenlem,düzenlemek
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
Toplantı,toplantı,toplantı
gösteri,gösteri,gösteri
yürüyüşü,yürüyüşü,yürümek
hakkı,hakkı,Hak
ancak,ancak,ancak
",",",",","
millî,millî,millî
güvenlik,güvenlik,güvenlik
",",",",","
kamu,kamu,kamu
düzeni,düzeni,düzmek
",",",",","
suç,suç,suç
işlenmesinin,işlenmesinin,iş
önlenmesi,önlenmesi,ön
",",",",","
genel,genel,genelmek
sağlığın,sağlığın,sağlık
genel,genel,genelmek
ahlâkın,ahlâkın,ahlak
başkalarının,başkalarının,başka
hak,hak,Hak
özgürlüklerinin,özgürlüklerinin,özgür
korunması,korunması,korunması
amacıyla,amacıyla,amaç
kanunla,kanunla,Kanun
sınırlanabilir,sınırlanabilir,sınır
.,.,.
Toplantı,toplantı,toplantı
gösteri,gösteri,gösteri
yürüyüşü,yürüyüşü,yürümek
düzenleme,düzenlem,düzenlemek
hakkının,hakkının,Hak
kullanılmasında,kullanılmasında,kul
uygulanacak,uygulanacak,uygulamak
şekil,şekil,şekil
",",",",","
şart,şart,şart
usuller,usul,usul
kanunda,kanunda,Kanun
gösterilir,gösterilir,göstermek
.,.,.
XII,xii,xii
.,.,.
Mülkiyet,mülkiyet,mülkiyet
hakkı,hakkı,Hak
MADDE,madd,madde
35-,35-,35-
Herkes,herk,herkes
",",",",","
mülkiyet,mülkiyet,mülkiyet
miras,mira,miras
haklarına,haklarına,Hak
sahiptir,sahiptir,sahip
.,.,.
haklar,haklar,Hak
",",",",","
ancak,ancak,ancak
kamu,kamu,kamu
yararı,yararı,yarar
amacıyla,amacıyla,amaç
",",",",","
kanunla,kanunla,Kanun
sınırlanabilir,sınırlanabilir,sınır
.,.,.
Mülkiyet,mülkiyet,mülkiyet
hakkının,hakkının,Hak
kullanılması,kullanılması,kul
toplum,toplum,top
yararına,yararına,yarar
aykırı,aykırı,aykırı
olamaz,olamaz,olamaz
.,.,.
XIII,xiii,xiii
.,.,.
Hakların,hakların,Hak
korunması,korunması,korunması
ilgili,ilgili,ilgi
hükümler,hükümler,hüküm
A.,a.,A
Hak,hak,Hak
arama,arama,ara
hürriyeti,hürriyeti,hürriyet
MADDE,madd,madde
36-,36-,36-
Herkes,herk,herkes
",",",",","
meşrû,meşrû,meşru
vasıta,vasıta,vasıta
yollardan,yollardan,yol
faydalanmak,faydalanmak,fayda
suretiyle,suretiyl,suret
yargı,yargı,yargı
mercileri,mercileri,Mer
önünde,önünde,ön
davacı,davacı,dava
davalı,davalı,dava
olarak,olarak,olarak
iddia,iddia,iddia
savunma,savunma,savunmak
adil,adil,adil
yargılanma,yargılanma,yargı
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
(,(,(
1,1,1
),),)
Hiçbir,hiçbir,hiçbir
mahkeme,mahkem,Mahke
",",",",","
görev,görev,görev
yetkisi,yetkisi,yetki
içindeki,içindeki,iç
davaya,davaya,dava
bakmaktan,bakmaktan,bakmak
kaçınamaz,kaçınamaz,kaçınmak
.,.,.
(,(,(
1,1,1
),),)
3/10/2001,3/10/2001,3/10/2001
tarihli,tarihli,tarih
4709,4709,4709
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
14,14,14
üncü,üncü,ün
maddesiyle,maddesiyl,madde
",",",",","
fıkraya,fıkraya,fıkra
“,“,“
savunma,savunma,savunmak
”,”,”
ibaresinden,ibaresinden,ibare
sonra,sonra,sonra
gelmek,gelmek,gelmek
üzere,üzere,Üzer
“,“,“
adil,adil,adil
yargılanma,yargılanma,yargı
”,”,”
ibaresi,ibaresi,ibare
eklenmiştir,eklenmiştir,eklemek
.,.,.
B.,b.,B
Kanunî,kanunî,kanunî
hâkim,hâkim,hâkim
güvencesi,güvencesi,güvence
MADDE,madd,madde
37-,37-,37-
kimse,kims,kim
kanunen,kanunen,kanunen
tabî,tabî,tabi
olduğu,olduğu,olmak
mahkemeden,mahkemeden,mahkeme
başka,başka,başka
bir,bir,bir
merci,merci,Mer
önüne,önüne,ön
çıkarılamaz,çıkarılamaz,çıkarmak
.,.,.
Bir,bir,bir
kimseyi,kimseyi,kimse
kanunen,kanunen,kanunen
tabî,tabî,tabi
olduğu,olduğu,olmak
mahkemeden,mahkemeden,mahkeme
başka,başka,başka
bir,bir,bir
merci,merci,Mer
önüne,önüne,ön
çıkarma,çıkarma,çıkarmak
sonucunu,sonucunu,sonuç
doğuran,doğuran,doğurmak
yargı,yargı,yargı
yetkisine,yetkisin,yetki
sahip,sahip,sahip
olağanüstü,olağanüstü,olağanüstü
merciler,mercil,Mer
kurulamaz,kurulamaz,kurulamak
.,.,.
C.,c.,C
Suç,suç,suç
cezalara,cezalara,ceza
ilişkin,ilişkin,ilişki
esaslar,esaslar,esas
MADDE,madd,madde
38-,38-,38-
Kimse,kims,kim
",",",",","
işlendiği,işlendiği,iş
zaman,zaman,zaman
yürürlükte,yürürlükte,yürümek
bulunan,bulunan,bulmak
kanunun,kanunun,Kanun
suç,suç,suç
saymadığı,saymadığı,saymak
bir,bir,bir
fiilden,fiilden,fiil
dolayı,dolayı,dolay
cezalandırılamaz,cezalandırılamaz,cezalandırmak
;,;,;
kimseye,kimsey,kimse
suçu,suçu,suç
işlediği,işlediği,işlemek
zaman,zaman,zaman
kanunda,kanunda,Kanun
suç,suç,suç
konulmuş,konulmuş,konmak
olan,olan,o
cezadan,cezadan,ceza
ağır,ağır,ağır
bir,bir,bir
ceza,ceza,ceza
verilemez,verilemez,verilemez
.,.,.
Suç,suç,suç
ceza,ceza,ceza
zamanaşımı,zamanaşımı,zamanaşımı
ceza,ceza,ceza
mahkûmiyetinin,mahkûmiyetinin,mahkûmiyet
sonuçları,sonuçları,sonuç
konusunda,konusunda,konu
yukarıdaki,yukarıdaki,yukarı
fıkra,fıkra,fıkra
uygulanır,uygulanır,uygulamak
.,.,.
Ceza,ceza,ceza
ceza,ceza,ceza
yerine,yerin,yerine
geçen,geçen,geçmek
güvenlik,güvenlik,güvenlik
tedbirleri,tedbirleri,tedbir
ancak,ancak,ancak
kanunla,kanunla,Kanun
konulur,konulur,konmak
.,.,.
Suçluluğu,suçluluğu,suçlu
hükmen,hükmen,hükmen
sabit,sabit,sabit
oluncaya,oluncaya,oluncaya
kadar,kadar,kadar
",",",",","
kimse,kims,kim
suçlu,suçlu,suçlu
sayılamaz,sayılamaz,saymak
.,.,.
kimse,kims,kim
kendisini,kendisini,kendi
kanunda,kanunda,Kanun
gösterilen,gösterilen,göstermek
yakınlarını,yakınlarını,yakın
suçlayan,suçlayan,suçlamak
bir,bir,bir
beyanda,beyanda,beyan
bulunmaya,bulunmaya,bulmak
yolda,yolda,yol
delil,delil,delil
göstermeye,göstermey,göstermek
zorlanamaz,zorlanamaz,zorlamak
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
3/10/2001-4709/15,3/10/2001-4709/15,3/10/2001-4709/15
md,md,Md
.,.,.
),),)
Kanuna,kanuna,Kanun
aykırı,aykırı,aykırı
olarak,olarak,olarak
elde,eld,el
edilmiş,edilmiş,edilmiş
bulgular,bulgular,bulgu
",",",",","
delil,delil,delil
olarak,olarak,olarak
kabul,kabul,kabul
edilemez,edilemez,edilemez
.,.,.
Ceza,ceza,ceza
sorumluluğu,sorumluluğu,sorum
şahsîdir,şahsîdir,şahsî
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
3/10/2001-4709/15,3/10/2001-4709/15,3/10/2001-4709/15
md,md,Md
.,.,.
),),)
kimse,kims,kim
",",",",","
yalnızca,yalnızca,yalnız
sözleşmeden,sözleşmeden,sözleşme
doğan,doğan,doğan
bir,bir,bir
yükümlülüğü,yükümlülüğü,yüküm
yerine,yerin,yerine
getirememesinden,getirememesinden,getirmek
dolayı,dolayı,dolay
özgürlüğünden,özgürlüğünden,özgür
alıkonulamaz,alıkonulamaz,alıkonmak
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
3/10/2001-4709/15,3/10/2001-4709/15,3/10/2001-4709/15
md,md,Md
;,;,;
Mülga,mülga,mülga
fıkra,fıkra,fıkra
:,:,:
7/5/2004-5170/5,7/5/2004-5170/5,7/5/2004-5170/5
md,md,Md
.,.,.
),),)
(,(,(
Değişik,değişik,değişik
onuncu,onuncu,onuncu
fıkra,fıkra,fıkra
:,:,:
7/5/2004-5170/5,7/5/2004-5170/5,7/5/2004-5170/5
md,md,Md
.,.,.
),),)
Ölüm,ölüm,ölüm
cezası,cezası,ceza
genel,genel,genelmek
müsadere,müsader,müsadere
cezası,cezası,ceza
verilemez,verilemez,verilemez
.,.,.
İdare,i̇dar,i̇dare
",",",",","
kişi,kişi,kişi
hürriyetinin,hürriyetinin,hürriyet
kısıtlanması,kısıtlanması,kısıtlamak
sonucunu,sonucunu,sonuç
doğuran,doğuran,doğurmak
bir,bir,bir
müeyyide,müeyyid,müeyyide
uygulayamaz,uygulayamaz,uygulamak
.,.,.
Silahlı,silahlı,silâh
Kuvvetlerin,kuvvetlerin,Kuvvet
iç,iç,iç
düzeni,düzeni,düzmek
bakımından,bakımından,bakımından
hükme,hükme,hüküm
kanunla,kanunla,Kanun
istisnalar,istisnalar,istisna
getirilebilir,getirilebilir,getirmek
.,.,.
(,(,(
Değişik,değişik,değişik
son,son,son
fıkra,fıkra,fıkra
:,:,:
7/5/2004-5170/5,7/5/2004-5170/5,7/5/2004-5170/5
md,md,Md
.,.,.
),),)
Uluslararası,uluslararası,uluslararası
Ceza,ceza,ceza
Divanına,divanına,divan
taraf,taraf,taraf
olmanın,olmanın,olmak
gerektirdiği,gerektirdiği,gerekmek
yükümlülükler,yükümlülükler,yüküm
hariç,hariç,hariç
olmak,olmak,olmak
üzere,üzere,Üzer
vatandaş,vatandaş,vatandaş
",",",",","
suç,suç,suç
sebebiyle,sebebiyl,sebep
yabancı,yabancı,yabancı
bir,bir,bir
ülkeye,ülkey,Ülke
verilemez,verilemez,verilemez
.,.,.
XIV,xiv,xiv
.,.,.
İspat,i̇spat,i̇spat
hakkı,hakkı,Hak
MADDE,madd,madde
39-,39-,39-
Kamu,kamu,kamu
görev,görev,görev
hizmetinde,hizmetind,hizmet
bulunanlara,bulunanlara,bulmak
karşı,karşı,karşı
",",",",","
görev,görev,görev
hizmetin,hizmetin,hizmet
yerine,yerin,yerine
getirilmesiyle,getirilmesiyl,getirmek
ilgili,ilgili,ilgi
olarak,olarak,olarak
yapılan,yapılan,yapılanmak
isnatlardan,isnatlardan,isnat
dolayı,dolayı,dolay
açılan,açılan,açılamak
hakaret,hakaret,hakaret
davalarında,davalarında,dava
",",",",","
sanık,sanık,sanık
",",",",","
isnadın,isnadın,isnat
doğruluğunu,doğruluğunu,doğru
ispat,ispat,ispat
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
Bunun,bunun,bu
dışındaki,dışındaki,dış
hallerde,hallerd,hal
ispat,ispat,ispat
isteminin,isteminin,İstem
kabulü,kabulü,kabul
",",",",","
ancak,ancak,ancak
isnat,isnat,isnat
olunan,olunan,olunan
fiilin,fiilin,fiil
doğru,doğru,doğru
olup,olup,olup
olmadığının,olmadığının,olmak
anlaşılmasında,anlaşılmasında,an
kamu,kamu,kamu
yararı,yararı,yarar
bulunmasına,bulunmasına,bulmak
şikâyetçinin,şikâyetçinin,Şikayet
ispata,ispata,ispat
razı,razı,razı
olmasına,olmasına,olmak
bağlıdır,bağlıdır,bağ
.,.,.
XV,xv,xv
.,.,.
Temel,temel,temel
hak,hak,Hak
hürriyetlerin,hürriyetlerin,hürriyet
korunması,korunması,korunması
MADDE,madd,madde
40-,40-,40-
Anayasa,anayasa,anayasa
tanınmış,tanınmış,tan
hak,hak,Hak
hürriyetleri,hürriyetleri,hürriyet
ihlâl,ihlâl,ihlâl
edilen,edilen,Edi
herkes,herk,herkes
",",",",","
yetkili,yetkili,yetkili
makama,makama,makam
geciktirilmeden,geciktirilmeden,gecikmek
başvurma,başvurma,başvurmak
imkânının,imkânının,imkân
sağlanmasını,sağlanmasını,sağ
isteme,istem,İstem
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
3/10/2001-4709/16,3/10/2001-4709/16,3/10/2001-4709/16
md,md,Md
.,.,.
),),)
Devlet,devlet,devlet
",",",",","
işlemlerinde,işlemlerind,işlem
",",",",","
ilgili,ilgili,ilgi
kişilerin,kişilerin,kişi
hangi,hangi,hangi
kanun,kanun,Kanun
yolları,yolları,yol
mercilere,merciler,Mer
başvuracağını,başvuracağını,başvurmak
sürelerini,sürelerini,süre
belirtmek,belirtmek,belirmek
zorundadır,zorundadır,zor
.,.,.
Kişinin,kişinin,kişi
",",",",","
resmî,resmî,resim
görevliler,görevlil,görev
tarafından,tarafından,taraf
vâki,vâki,vaki
haksız,haksız,Hak
işlemler,işleml,işlem
sonucu,sonucu,sonuç
uğradığı,uğradığı,uğramak
zarar,zarar,zarar
",",",",","
kanuna,kanuna,Kanun
göre,göre,göre
",",",",","
Devletçe,devletç,devlet
tazmin,tazmin,tazmin
edilir,edilir,edilir
.,.,.
Devletin,devletin,devlet
sorumlu,sorumlu,sorumlu
olan,olan,o
ilgili,ilgili,ilgi
görevliye,görevliy,görev
rücu,rücu,rücu
hakkı,hakkı,Hak
saklıdır,saklıdır,saklı
.,.,.
ÜÇÜNCÜ,üçüncü,üçüncü
BÖLÜM,bölüm,bölüm
Sosyal,sosyal,sosyal
Ekonomik,ekonomik,ekonomik
Haklar,haklar,Hak
Ödevler,ödevler,ödevlemek
I.,i.,i
Ailenin,ailenin,aile
korunması,korunması,korunması
çocuk,çocuk,çocuk
hakları,hakları,Hak
(,(,(
1,1,1
),),)
MADDE,madd,madde
41-,41-,41-
Aile,ail,aile
",",",",","
Türk,türk,Türk
toplumunun,toplumunun,toplum
temelidir,temelidir,temel
eşler,eşler,eşlemek
arasında,arasında,ara
eşitliğe,eşitliğ,eşit
dayanır,dayanır,dayanmak
.,.,.
(,(,(
2,2,2
),),)
Devlet,devlet,devlet
",",",",","
ailenin,ailenin,aile
huzur,huzur,huzur
refahı,refahı,refah
özellikle,özellikl,özellikle
ananın,ananın,anmak
çocukların,çocukların,çocuk
korunması,korunması,korunması
aile,ail,aile
planlamasının,planlamasının,planlamak
öğretimi,öğretimi,öğretim
uygulanmasını,uygulanmasını,uygulamak
sağlamak,sağlamak,sağlamak
gerekli,gerekli,gerekli
tedbirleri,tedbirleri,tedbir
alır,alır,alır
",",",",","
teşkilâtı,teşkilâtı,teşkilât
kurar,kurar,kurar
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
7/5/2010-5982/4,7/5/2010-5982/4,7/5/2010-5982/4
md,md,Md
.,.,.
),),)
çocuk,çocuk,çocuk
",",",",","
korunma,korunma,korunma
bakımdan,bakımdan,bakı
yararlanma,yararlanma,yarar
",",",",","
yüksek,yüksek,Yüksek
yararına,yararına,yarar
açıkça,açıkça,Açık
aykırı,aykırı,aykırı
olmadıkça,olmadıkça,olmak
",",",",","
ana,ana,an
babasıyla,babasıyla,baba
kişisel,kişisel,kişisel
doğrudan,doğrudan,doğrudan
ilişki,ilişki,ilişki
kurma,kurma,kurmak
sürdürme,sürdürme,sürdürmek
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
7/5/2010-5982/4,7/5/2010-5982/4,7/5/2010-5982/4
md,md,Md
.,.,.
),),)
Devlet,devlet,devlet
",",",",","
türlü,türlü,tür
istismara,istismara,istismar
şiddete,şiddet,şiddet
karşı,karşı,karşı
çocukları,çocukları,çocuk
koruyucu,koruyucu,koruyucu
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
(,(,(
1,1,1
),),)
maddenin,maddenin,madde
kenar,kenar,kenar
başlığı,başlığı,başlık
“,“,“
I,i,i
.,.,.
Ailenin,ailenin,aile
korunması,korunması,korunması
”,”,”
iken,iken,iken
",",",",","
7/5/2010,7/5/2010,7/5/2010
tarihli,tarihli,tarih
5982,5982,5982
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
4,4,4
üncü,üncü,ün
maddesiyle,maddesiyl,madde
metne,metn,metin
işlendiği,işlendiği,iş
şekilde,şekild,şekil
değiştirilmiştir,değiştirilmiştir,değişmek
.,.,.
(,(,(
2,2,2
),),)
3/10/2001,3/10/2001,3/10/2001
tarihli,tarihli,tarih
4709,4709,4709
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
17,17,17
nci,nci,N
maddesiyle,maddesiyl,madde
fıkranın,fıkranın,fıkra
sonuna,sonuna,son
“,“,“
eşler,eşler,eşlemek
arasında,arasında,ara
eşitliğe,eşitliğ,eşit
dayanır,dayanır,dayanmak
”,”,”
ibaresi,ibaresi,ibare
eklenmiştir,eklenmiştir,eklemek
.,.,.
II,ii,ii
.,.,.
Eğitim,eğitim,eğitim
öğrenim,öğrenim,öğrenim
hakkı,hakkı,Hak
ödevi,ödevi,ödev
MADDE,madd,madde
42-,42-,42-
Kimse,kims,kim
",",",",","
eğitim,eğitim,eğitim
öğrenim,öğrenim,öğrenim
hakkından,hakkından,Hak
yoksun,yoksun,yoksun
bırakılamaz,bırakılamaz,bırakmak
.,.,.
Öğrenim,öğrenim,öğrenim
hakkının,hakkının,Hak
kapsamı,kapsamı,Kapsam
kanunla,kanunla,Kanun
tespit,tespit,tespit
edilir,edilir,edilir
düzenlenir,düzenlenir,düzmek
.,.,.
Eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
",",",",","
Atatürk,atatürk,Atatürk
ilkeleri,ilkeleri,İlke
inkılâpları,inkılâpları,inkılâp
doğrultusunda,doğrultusunda,doğrultu
",",",",","
çağdaş,çağdaş,çağdaş
bilim,bilim,bilim
eğitim,eğitim,eğitim
esaslarına,esaslarına,esas
göre,göre,göre
",",",",","
Devletin,devletin,devlet
gözetim,gözetim,gözetim
denetimi,denetimi,denet
altında,altında,altı
yapılır,yapılır,yapmak
.,.,.
esaslara,esaslara,esas
aykırı,aykırı,aykırı
eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
yerleri,yerleri,yer
açılamaz,açılamaz,açılamak
.,.,.
Eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
hürriyeti,hürriyeti,hürriyet
",",",",","
Anayasaya,anayasaya,anayasa
sadakat,sadakat,Sadakat
borcunu,borcunu,Bor
ortadan,ortadan,orta
kaldırmaz,kaldırmaz,kaldırmak
.,.,.
İlköğretim,i̇lköğretim,i̇lköğretim
",",",",","
kız,kız,kız
erkek,erkek,erkek
bütün,bütün,bütün
vatandaşlar,vatandaşlar,vatandaş
zorunludur,zorunludur,zorunlu
Devlet,devlet,devlet
okullarında,okullarında,okul
parasızdır,parasızdır,para
.,.,.
Özel,özel,özel
ilk,ilk,ilk
orta,orta,orta
dereceli,derec,derece
okulların,okulların,okul
bağlı,bağlı,bağ
olduğu,olduğu,olmak
esaslar,esaslar,esas
",",",",","
Devlet,devlet,devlet
okulları,okulları,okul
erişilmek,erişilmek,erişmek
istenen,istenen,istemek
seviyeye,seviyey,seviye
uygun,uygun,Uygun
olarak,olarak,olarak
",",",",","
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
9/2/2008-5735/2,9/2/2008-5735/2,9/2/2008-5735/2
md,md,Md
.,.,.
;,;,;
İptal,i̇ptal,i̇ptal
:,:,:
Anayasa,anayasa,anayasa
Mahkemesinin,mahkemesinin,Mahkemesi
5/6/2008,5/6/2008,5/6/2008
tarihli,tarihli,tarih
E.,e.,E
:,:,:
2008/16,2008/16,2008/16
",",",",","
K.,k.,K
:,:,:
2008/116,2008/116,2008/116
sayılı,sayılı,sayılı
Kararı,kararı,karar
.,.,.
),),)
Devlet,devlet,devlet
",",",",","
maddî,maddî,maddî
imkânlardan,imkânlardan,imkân
yoksun,yoksun,yoksun
başarılı,başarılı,başarı
öğrencilerin,öğrencilerin,öğrenci
",",",",","
öğrenimlerini,öğrenimlerini,öğrenim
sürdürebilmeleri,sürdürebilmeleri,sürdürmek
amacı,amacı,amaç
burslar,burslar,burs
başka,başka,başka
yollarla,yollarla,yol
gerekli,gerekli,gerekli
yardımları,yardımları,yardım
yapar,yapar,yapmak
.,.,.
Devlet,devlet,devlet
",",",",","
durumları,durumları,durum
sebebiyle,sebebiyl,sebep
özel,özel,özel
eğitime,eğitim,eğitim
ihtiyacı,ihtiyacı,ihtiyaç
olanları,olanları,olanları
topluma,topluma,top
yararlı,yararlı,yarar
kılacak,kılacak,kılacak
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
Eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
kurumlarında,kurumlarında,kurum
sadece,sadec,sadece
eğitim,eğitim,eğitim
",",",",","
öğretim,öğretim,öğretim
",",",",","
araştırma,araştırma,araştırmak
inceleme,incelem,incelemek
ilgili,ilgili,ilgi
faaliyetler,faaliyetl,faaliyet
yürütülür,yürütülür,yürütmek
.,.,.
faaliyetler,faaliyetl,faaliyet
suretle,suretl,suret
olursa,olursa,Olur
olsun,olsun,olmak
engellenemez,engellenemez,engellemek
.,.,.
Türkçeden,türkçeden,Türkçe
başka,başka,başka
hiçbir,hiçbir,hiçbir
dil,dil,dilmek
",",",",","
eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
kurumlarında,kurumlarında,kurum
Türk,türk,Türk
vatandaşlarına,vatandaşlarına,vatandaş
ana,ana,an
dilleri,dilleri,dil
olarak,olarak,olarak
okutulamaz,okutulamaz,okumak
öğretilemez,öğretilemez,öğretmek
.,.,.
Eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
kurumlarında,kurumlarında,kurum
okutulacak,okutulacak,okumak
yabancı,yabancı,yabancı
diller,diller,dil
yabancı,yabancı,yabancı
dille,dill,dil
eğitim,eğitim,eğitim
öğretim,öğretim,öğretim
yapan,yapan,yapmak
okulların,okulların,okul
tabi,tabi,tabi
olacağı,olacağı,olacağı
esaslar,esaslar,esas
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
Milletlerarası,milletlerarası,milletlerarası
andlaşma,andlaşma,andlaşma
hükümleri,hükümleri,hüküm
saklıdır,saklıdır,saklı
.,.,.
III,iii,iii
.,.,.
Kamu,kamu,kamu
yararı,yararı,yarar
A.,a.,A
Kıyılardan,kıyılardan,kıyı
yararlanma,yararlanma,yarar
MADDE,madd,madde
43-,43-,43-
Kıyılar,kıyılar,kıyı
",",",",","
Devletin,devletin,devlet
hüküm,hüküm,hüküm
tasarrufu,tasarrufu,tasarruf
altındadır,altındadır,altı
.,.,.
Deniz,deniz,deniz
",",",",","
göl,göl,göl
akarsu,akarsu,Akarsu
kıyılarıyla,kıyılarıyla,kıyı
",",",",","
deniz,deniz,deniz
göllerin,göllerin,göl
kıyılarını,kıyılarını,kıyı
çevreleyen,çevreleyen,çevrelemek
sahil,sahil,sahil
şeritlerinden,şeritlerinden,şeritler
yararlanmada,yararlanmada,yarar
öncelikle,öncelikl,öncelikle
kamu,kamu,kamu
yararı,yararı,yarar
gözetilir,gözetilir,gözemek
.,.,.
Kıyılarla,kıyılarla,kıyı
sahil,sahil,sahil
şeritlerinin,şeritlerinin,şeritler
",",",",","
kullanılış,kullanılış,kul
amaçlarına,amaçlarına,amaç
göre,göre,göre
derinliği,derinliği,derinlik
kişilerin,kişilerin,kişi
yerlerden,yerlerden,yer
yararlanma,yararlanma,yarar
imkân,imkân,imkân
şartları,şartları,şart
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
B.,b.,B
Toprak,toprak,toprak
mülkiyeti,mülkiyeti,mülkiyet
MADDE,madd,madde
44-,44-,44-
Devlet,devlet,devlet
",",",",","
toprağın,toprağın,toprak
verimli,verimli,Verim
olarak,olarak,olarak
işletilmesini,işletilmesini,işlemek
korumak,korumak,korumak
geliştirmek,geliştirmek,geliştirmek
",",",",","
erozyonla,erozyonla,erozyon
kaybedilmesini,kaybedilmesini,kaybetmek
önlemek,önlemek,önlemek
topraksız,topraksız,toprak
olan,olan,o
yeter,yeter,yetmek
toprağı,toprağı,toprak
bulunmayan,bulunmayan,bulmak
çiftçilikle,çiftçilikl,çiftçilikle
uğraşan,uğraşan,uğraşmak
köylüye,köylüy,köy
toprak,toprak,toprak
sağlamak,sağlamak,sağlamak
amacıyla,amacıyla,amaç
gerekli,gerekli,gerekli
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
Kanun,kanun,Kanun
",",",",","
amaçla,amaçla,amaçlamak
",",",",","
değişik,değişik,değişik
tarım,tarım,tarım
bölgeleri,bölgeleri,bölge
çeşitlerine,çeşitlerin,çeşit
göre,göre,göre
toprağın,toprağın,toprak
genişliğini,genişliğini,genişlik
tespit,tespit,tespit
edebilir,edebilir,edebilir
.,.,.
Topraksız,topraksız,toprak
olan,olan,o
yeter,yeter,yetmek
toprağı,toprağı,toprak
bulunmayan,bulunmayan,bulmak
çiftçiye,çiftçiy,çiftçi
toprak,toprak,toprak
sağlanması,sağlanması,sağ
",",",",","
üretimin,üretimin,üretim
düşürülmesi,düşürülmesi,düşürmek
",",",",","
ormanların,ormanların,orman
küçülmesi,küçülmesi,küçülmek
diğer,diğer,diğer
toprak,toprak,toprak
yeraltı,yeraltı,yeraltı
servetlerinin,servetlerinin,servet
azalması,azalması,azalmak
sonucunu,sonucunu,sonuç
doğuramaz,doğuramaz,doğurmak
.,.,.
amaçla,amaçla,amaçlamak
dağıtılan,dağıtılan,dağıtmak
topraklar,topraklar,topraklamak
bölünemez,bölünemez,bölmek
",",",",","
miras,mira,miras
hükümleri,hükümleri,hüküm
dışında,dışında,dış
başkalarına,başkalarına,başka
devredilemez,devredilemez,devretmek
ancak,ancak,ancak
dağıtılan,dağıtılan,dağıtmak
çiftçilerle,çiftçilerl,çiftçi
mirasçıları,mirasçıları,miras
tarafından,tarafından,taraf
işletilebilir,işletilebilir,işlemek
.,.,.
şartların,şartların,şart
kaybı,kaybı,kayıp
halinde,halind,hal
",",",",","
dağıtılan,dağıtılan,dağıtmak
toprağın,toprağın,toprak
Devletçe,devletç,devlet
geri,geri,geri
alınmasına,alınmasına,alınmak
ilişkin,ilişkin,ilişki
esaslar,esaslar,esas
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
C.,c.,C
Tarım,tarım,tarım
",",",",","
hayvancılık,hayvancılık,hayvan
üretim,üretim,üretim
dallarında,dallarında,dal
çalışanların,çalışanların,çalışmak
korunması,korunması,korunması
MADDE,madd,madde
45-,45-,45-
Devlet,devlet,devlet
",",",",","
